Report Name,Organisation Code,Organisation Name,Month,Patient Type,Value 1,Value 2,Value 3,Value 4
1. MSitAE Comparison,RY9,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,Apr-20,All Patients,3620,1025,353,
1. MSitAE Comparison,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,Apr-20,All Patients,7780,9076,86,
1. MSitAE Comparison,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,Apr-20,All Patients,6790,6866,99,
1. MSitAE Comparison,RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,Apr-20,All Patients,985,990,100,
1. MSitAE Comparison,RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,Apr-20,All Patients,1955,2595,75,
1. MSitAE Comparison,AAH01,TETBURY HOSPITAL TRUST,May-20,All Patients,130,No Data,-,
1. MSitAE Comparison,AD903,URGENT CARE CENTRE,May-20,All Patients,4440,No Data,,
1. MSitAE Comparison,AD904,UCC AT HILLINGDON HOSPITAL,May-20,All Patients,4225,No Data,,
1. MSitAE Comparison,AD906,UCC - NORTHWICK PARK HOSPITAL,May-20,All Patients,4440,No Data,,
1. MSitAE Comparison,AD907,ASHFORD HEALTH CENTRE,May-20,All Patients,1330,No Data,,
1. MSitAE Comparison,AD913,BECKENHAM BEACON UCC,May-20,All Patients,2000,1997,100,
1. MSitAE Comparison,AD914,UCC - QUEEN ELIZABETH HOSPITAL,May-20,All Patients,4820,No Data,,
1. MSitAE Comparison,AD916,WOKING WALK IN CENTRE,May-20,All Patients,1195,No Data,,
1. MSitAE Comparison,AD918,UTC - CENTRAL MIDDLESEX HOSPITAL,May-20,All Patients,1350,No Data,,
1. MSitAE Comparison,AQN04,PHL LYMINGTON UTC,May-20,All Patients,1105,1104,100,
1. MSitAE Comparison,AXA,TOWER HAMLETS GP CARE GROUP CIC,May-20,All Patients,2530,No Data,,
1. MSitAE Comparison,AXT,ONE MEDICAL GROUP LIMITED,May-20,All Patients,2935,No Data,,
