INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL
I00699,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,0.9141,2,52880,1980,2165,0.9349,1.0682,0.8909,1.1225
I00699,RJN,EAST CHESHIRE NHS TRUST,1.2166,1,16085,870,715,0.8884,1.1211,0.8779,1.1391
I00699,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,1.051,2,95755,3640,3465,0.9483,1.0536,0.8935,1.1192
I00699,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,1.3193,1,48820,2290,1735,0.9274,1.0764,0.8892,1.1246
I00699,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,1.1052,2,110390,4475,4050,0.9521,1.0495,0.8941,1.1184
I00699,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,1.0042,2,62940,2635,2625,0.9407,1.0618,0.8921,1.121
I00699,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1.1711,1,40850,1780,1520,0.9226,1.0818,0.888,1.1261
I00699,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,1.0215,2,92725,3585,3510,0.9486,1.0533,0.8935,1.1191
I00699,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,1.0102,2,36325,1555,1540,0.9231,1.0812,0.8882,1.1259
I00699,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,1.0463,2,33395,1205,1155,0.9115,1.0944,0.8851,1.1299
I00699,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,1.1578,1,101135,2885,2495,0.9392,1.0635,0.8918,1.1213
I00699,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,1.0043,2,62775,1850,1840,0.9295,1.0741,0.8897,1.124
I00699,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,0.8826,3,100865,1625,1840,0.9295,1.0742,0.8897,1.124
I00699,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,0.8901,3,77305,2335,2625,0.9408,1.0618,0.8921,1.121
I00699,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,0.9834,2,29480,1065,1080,0.9086,1.0976,0.8843,1.1309
I00699,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,0.8697,3,47585,600,690,0.8865,1.1233,0.8773,1.1399
I00699,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,1.1476,1,88595,3520,3070,0.9451,1.057,0.8929,1.1199
I00699,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,0.7332,3,108945,2100,2860,0.9432,1.0591,0.8926,1.1204
I00699,R1F,ISLE OF WIGHT NHS TRUST,0.9398,2,20885,925,985,0.9043,1.1025,0.883,1.1325
I00699,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1.1185,2,34350,1675,1495,0.922,1.0825,0.8879,1.1263
I00699,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,1.0488,2,49505,1775,1695,0.9266,1.0774,0.889,1.1249
I00699,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,1.0115,2,97375,3005,2970,0.9442,1.058,0.8928,1.1201
I00699,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,0.8281,3,54160,1130,1360,0.9184,1.0866,0.8869,1.1275
I00699,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,0.9392,2,87790,2490,2650,0.941,1.0615,0.8921,1.1209
I00699,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,1.1313,1,100910,4055,3585,0.9492,1.0527,0.8936,1.119
I00699,RJ2,LEWISHAM AND GREENWICH NHS TRUST,1.009,2,84960,2440,2415,0.9383,1.0645,0.8916,1.1216
I00699,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0.9709,2,97520,3860,3975,0.9517,1.05,0.8941,1.1185
I00699,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,0.8607,3,105940,2695,3130,0.9457,1.0565,0.893,1.1198
