code_hopital,annee_fiscale,taux_occupation_lits,taux_mortalite,taux_infection_nosocomiale,duree_moyenne_sejour_jours,temps_attente_median_min,taux_lits_vacants,taux_transfert,nombre_lits_disponibles,total_admissions,nombre_medecins,nombre_infirmiers,ratio_medecin_par_lit,ratio_infirmier_par_lit,ratio_infirmier_par_medecin,statut_hopital
RXR,2023-24,94.0,2.93,0.1397,5.91137739696792,157.0,6.0,1.89,1004.9120879120879,118830.0,962.0,2736.0,0.957,2.723,2.844,Critique
R0B,2023-24,85.8,2.866,0.0698,4.73515489525238,158.0,14.2,0.99,1142.956043956044,158985.0,1003.0,3139.0,0.878,2.746,3.13,Attention
RAE,2023-24,92.1,3.015,0.0366,3.09416433761878,230.0,7.9,12.95,705.4945054945055,131035.0,842.0,1662.0,1.193,2.356,1.974,Critique
RCB,2023-24,92.2,2.388,0.122,3.83081189614727,233.0,7.8,5.26,890.8351648351648,178725.0,991.0,2361.0,1.112,2.65,2.382,Critique
RCD,2023-24,91.0,2.467,0.0695,3.70929087327643,114.0,9.0,0.77,314.0769230769231,74860.0,453.0,1853.0,1.442,5.9,4.091,Normal
RCF,2023-24,86.3,2.222,0.1774,4.02766560701091,222.0,13.7,2.05,405.1978021978022,67090.0,362.0,826.0,0.893,2.039,2.282,Attention
RFF,2023-24,92.4,2.523,0.0984,3.64483468710674,211.0,7.6,2.91,512.6373626373627,79250.0,454.0,1159.0,0.886,2.261,2.553,Attention
RFR,2023-24,90.6,2.576,0.1112,3.2490187023782,239.0,9.4,0.95,490.6923076923077,75570.0,461.0,1287.0,0.939,2.623,2.792,Attention
RHQ,2023-24,88.1,2.481,0.0775,4.51824781511292,160.0,11.9,4.5,1607.1758241758241,258230.0,1880.0,4600.0,1.17,2.862,2.447,Attention
RNN,2023-24,90.5,2.522,0.1696,5.62481680508061,161.0,9.5,1.09,680.4065934065934,74310.0,668.0,2070.0,0.982,3.042,3.099,Attention
RP5,2023-24,91.9,2.878,0.1111,3.81017094349908,189.0,8.1,1.28,809.5824175824176,130550.0,796.0,1789.0,0.983,2.21,2.247,Attention
RR8,2023-24,94.3,2.76,0.1589,6.72685125563426,222.0,5.7,1.87,1886.6593406593406,164935.0,2587.0,4746.0,1.371,2.516,1.835,Critique
RTD,2023-24,85.3,2.754,0.0816,4.65991673811397,151.0,14.7,0.7,1559.956043956044,236520.0,2063.0,4936.0,1.322,3.164,2.393,Attention
RTF,2023-24,86.8,2.271,0.0848,2.79615908059882,89.0,13.2,7.23,910.7472527472528,167420.0,800.0,2432.0,0.878,2.67,3.04,Attention
RTR,2023-24,88.7,2.742,0.1132,3.63934116430113,166.0,11.3,9.88,997.7582417582418,173990.0,1197.0,3024.0,1.2,3.031,2.526,Attention
RVW,2023-24,88.5,2.387,0.1095,3.26344937950078,80.0,11.5,1.37,598.8241758241758,95850.0,550.0,1563.0,0.918,2.61,2.842,Attention
RWA,2023-24,89.0,2.752,0.0598,4.69784172661871,285.0,11.0,2.26,1250.9450549450548,168955.0,1339.0,2712.0,1.07,2.168,2.025,Attention
RWY,2023-24,88.0,2.531,0.0806,4.06882514437186,201.0,12.0,2.5,747.8131868131868,114130.0,730.0,1813.0,0.976,2.424,2.484,Attention
RXP,2023-24,93.9,3.055,0.1151,4.35871434085407,237.0,6.1,1.17,1004.989010989011,132065.0,953.0,2560.0,0.948,2.547,2.686,Attention
R1H,2024-25,92.5,2.446,0.0795,5.508933,232.0,7.5,1.22,2146.5777777777776,220145.0,3297.0,5448.0,1.536,2.538,1.652,Attention
R1K,2024-25,93.7,2.162,0.0526,4.028616,165.0,6.3,3.27,1089.978021978022,201415.0,1701.0,3012.0,1.561,2.763,1.771,Attention
RAL,2024-25,89.6,1.936,0.0776,4.730024,192.0,10.4,9.71,1570.0444444444445,197220.0,2745.0,4798.0,1.748,3.056,1.748,Attention
RAS,2024-25,88.0,2.45,0.0482,3.471006,161.0,12.0,13.11,460.7,87095.0,563.0,1020.0,1.222,2.214,1.812,Attention
RAX,2024-25,87.2,1.934,0.0614,3.181692,174.0,12.8,13.45,455.94444444444446,87905.0,705.0,1473.0,1.546,3.231,2.089,Attention
RF4,2024-25,92.5,2.351,0.055,3.252651,216.0,7.5,0.69,1057.0,192700.0,1406.0,2555.0,1.33,2.417,1.817,Attention
RJ2,2024-25,92.1,2.391,0.0387,4.089647,225.0,7.9,5.96,1082.1888888888889,147300.0,1101.0,2442.0,1.017,2.257,2.218,Critique
RJ6,2024-25,91.5,2.753,0.0776,6.5613,141.0,8.5,1.32,534.8222222222222,61870.0,637.0,1417.0,1.191,2.649,2.224,Attention
RJ7,2024-25,96.1,2.246,0.0705,5.328726,210.0,3.9,4.83,905.2,121965.0,1733.0,2842.0,1.914,3.14,1.64,Critique
RJZ,2024-25,89.0,2.506,0.095,6.192978,184.0,11.0,5.16,1474.0,191600.0,2689.0,4558.0,1.824,3.092,1.695,Attention
RKE,2024-25,89.1,2.428,0.0837,4.819413,199.0,10.9,1.84,308.5444444444444,49005.0,638.0,1315.0,2.068,4.262,2.061,Attention
RQM,2024-25,96.1,1.742,0.0372,4.437849,180.0,3.9,1.58,879.2888888888889,169415.0,1576.0,2333.0,1.792,2.653,1.48,Attention
RQX,2024-25,86.5,2.068,0.0545,2.937814,240.0,13.5,12.23,338.81111111111113,77055.0,635.0,1244.0,1.874,3.672,1.959,Attention
RRV,2024-25,77.2,2.199,0.0496,4.982872,178.0,22.8,4.91,915.3,199650.0,2104.0,3464.0,2.299,3.785,1.646,Attention
